starttime,stoptime,start station id,end station id
9/1/15 0:50,9/1/15 1:06,346,238
9/1/15 0:50,9/1/15 8:08,3105,521
9/1/15 0:50,9/1/15 0:57,482,489
9/1/15 0:50,9/1/15 1:01,358,268
9/1/15 0:50,9/1/15 0:56,161,496
9/1/15 0:51,9/1/15 1:01,453,453
9/1/15 0:51,9/1/15 1:14,500,445
9/1/15 0:51,9/1/15 0:57,331,311
9/1/15 0:51,9/1/15 0:53,512,489
9/1/15 0:51,9/1/15 1:01,229,302
9/1/15 0:52,9/1/15 0:57,285,369
9/1/15 0:52,9/1/15 1:06,410,540
9/1/15 0:52,9/1/15 0:55,224,309
9/1/15 0:52,9/1/15 1:18,446,3130
9/1/15 0:52,9/1/15 1:09,251,539
9/1/15 0:53,9/1/15 1:00,380,293
9/1/15 0:53,9/1/15 1:01,367,527
9/1/15 0:54,9/1/15 1:00,401,151
9/1/15 0:54,9/1/15 1:05,151,487
9/1/15 0:55,9/1/15 1:02,432,361
9/1/15 0:55,9/1/15 1:06,116,472
9/1/15 0:56,9/1/15 1:10,498,301
9/1/15 0:56,9/1/15 1:10,470,478
9/1/15 0:56,9/1/15 1:00,401,151
9/1/15 0:56,9/1/15 1:07,293,507
9/1/15 0:57,9/1/15 1:11,380,427
9/1/15 0:57,9/1/15 1:06,72,388
9/1/15 0:58,9/1/15 1:01,161,382
9/1/15 0:58,9/1/15 1:03,531,229
9/1/15 0:58,9/1/15 1:03,476,505
9/1/15 0:58,9/1/15 1:13,2012,325
9/1/15 0:58,9/1/15 1:13,2012,325
9/1/15 0:58,9/1/15 1:14,2012,325
9/1/15 0:58,9/1/15 1:02,3094,3102
9/1/15 0:58,9/1/15 1:01,352,281
9/1/15 0:59,9/1/15 1:02,386,316
9/1/15 0:59,9/1/15 1:08,379,536
9/1/15 0:59,9/1/15 1:21,435,2004
9/1/15 0:59,9/1/15 1:01,293,483
9/1/15 1:00,9/1/15 1:08,496,293
9/1/15 1:00,9/1/15 1:10,253,489
9/1/15 1:00,9/1/15 1:14,3222,3044
9/1/15 1:00,9/1/15 1:15,2008,358
9/1/15 1:00,9/1/15 1:04,529,478
9/1/15 1:02,9/1/15 1:17,457,528
9/1/15 1:02,9/1/15 1:07,479,480
9/1/15 1:02,9/1/15 1:17,236,379
9/1/15 1:03,9/1/15 1:10,376,304
9/1/15 1:03,9/1/15 1:10,376,304
9/1/15 1:03,9/1/15 1:05,324,241
9/1/15 1:04,9/1/15 1:12,498,488
9/1/15 1:04,9/1/15 1:10,423,173
9/1/15 1:04,9/1/15 1:10,423,173
9/1/15 1:04,9/1/15 1:06,348,161
9/1/15 1:04,9/1/15 1:12,519,498
9/1/15 1:04,9/1/15 1:16,306,328
9/1/15 1:04,9/1/15 1:17,306,328
9/1/15 1:04,9/1/15 1:12,498,488
9/1/15 1:04,9/1/15 1:09,3086,3094
9/1/15 1:04,9/1/15 1:11,463,489
9/1/15 1:04,9/1/15 1:25,2003,3070
9/1/15 1:05,9/1/15 1:32,368,268
9/1/15 1:05,9/1/15 1:15,3224,335
9/1/15 1:05,9/1/15 1:16,529,518
